sample,n_class_A_carbapenemase_plasmidial,prop_carbapenemase_BD_plasmidial,n_esbl_plasmidial,n_genes_efflux_plasmidial,pct_contigs_plasmidial,n_plasmids_com_conjugacao,gc_diff_plasmid_cromossomo,Species,WHO_Priority
GCA_024655285.1,1,0,0,3,16.666666666666664,2,0.2099999999999937,Enterobacter hormaechei,Critical
GCA_024655315.1,1,0,1,6,16.346153846153847,5,-2.710000000000001,Enterobacter hormaechei,Critical
GCA_024655335.1,1,0,1,8,23.62869198312236,6,-2.469999999999999,Enterobacter hormaechei,Critical
GCA_031630535.1,0,1,1,2,30.89430894308943,6,-2.520000000000003,Enterobacter hormaechei,Critical
GCA_031630555.1,0,0,0,6,34.73684210526316,5,-3.4399999999999977,Enterobacter hormaechei,Critical
GCA_031630575.1,0,0,0,6,27.472527472527474,6,-3.4200000000000017,Enterobacter hormaechei,Critical
GCA_031630595.1,0,1,0,9,29.6,5,-3.3399999999999963,Enterobacter hormaechei,Critical
GCA_031630615.1,0,0,0,8,25.333333333333336,7,-4.409999999999997,Enterobacter hormaechei,Critical
GCA_031630635.1,0,0,0,8,21.153846153846157,4,-3.0700000000000003,Enterobacter hormaechei,Critical
GCA_031630655.1,0,1,1,5,29.126213592233007,6,-2.3100000000000023,Enterobacter hormaechei,Critical
GCA_037938235.1,1,1,1,3,27.659574468085108,9,-1.490000000000002,Enterobacter hormaechei,Critical
GCA_041901375.1,1,0,0,3,26.984126984126984,1,-1.2899999999999991,Enterobacter hormaechei,Critical
GCA_043109455.1,0,0,1,6,42.85714285714285,3,-5.400000000000006,Enterobacter hormaechei,Critical
GCA_031630675.1,0,0,2,5,20.149253731343283,7,-1.8000000000000045,Citrobacter portucalensis,Critical
GCA_036575035.1,0,0,1,0,37.5,2,-6.950000000000003,Klebsiella quasipneumoniae,Critical
GCA_036575105.1,0,1,2,0,23.52941176470588,1,-7.0,Klebsiella quasipneumoniae,Critical
GCA_036575155.1,0,1,1,0,31.818181818181817,1,-6.649999999999999,Klebsiella quasipneumoniae,Critical
GCA_036575225.1,0,1,1,0,55.55555555555556,3,-7.059999999999995,Klebsiella quasipneumoniae,Critical
GCA_036575455.1,0,1,2,0,29.166666666666668,2,-7.039999999999999,Klebsiella quasipneumoniae,Critical
GCA_036575445.1,0,1,2,0,33.33333333333333,1,-6.810000000000002,Klebsiella quasipneumoniae,Critical
GCA_036851855.1,0,1,3,0,22.516556291390728,6,-5.009999999999998,Klebsiella quasipneumoniae,Critical
GCA_039769275.1,0,1,3,2,42.85714285714285,3,-2.5799999999999983,Klebsiella quasipneumoniae,Critical
GCA_007004165.1,0,0,0,0,14.893617021276595,0,-0.0700000000000073,Mycobacterium tuberculosis,Critical
GCA_048158445.1,0,0,0,0,12.43523316062176,0,-0.2399999999999948,Mycobacterium tuberculosis,Critical
GCF_001270365.1,0,0,0,0,15.432098765432098,0,-0.2799999999999869,Mycobacterium tuberculosis,Critical
GCF_001270405.1,0,0,0,0,15.714285714285714,0,-0.059999999999988,Mycobacterium tuberculosis,Critical
GCA_002145455.1,0,0,1,10,26.923076923076923,7,-0.2199999999999988,Enterobacter kobei,Critical
GCA_002563295.1,0,0,0,0,9.090909090909092,0,-0.9799999999999968,Escherichia albertii,Critical
GCA_002895205.1,0,0,0,0,0.0,0,-0.5110833978004845,Escherichia albertii,Critical
GCA_026222775.1,0,1,1,6,37.073170731707314,22,-0.7800000000000011,Klebsiella variicola,Critical
GCA_026222995.1,0,1,1,5,32.6797385620915,7,-3.960000000000001,Klebsiella variicola,Critical
GCA_026223485.1,0,0,0,7,25.0,12,-2.769999999999996,Klebsiella variicola,Critical
GCA_029079245.1,1,0,0,10,30.927835051546392,3,-1.5499999999999972,Klebsiella variicola,Critical
GCA_005217765.1,1,0,2,2,30.392156862745097,4,-6.230000000000004,Klebsiella variicola,Critical
GCA_011394875.1,0,0,2,4,23.218997361477573,11,-2.3299999999999983,Klebsiella variicola,Critical
GCA_012102985.1,0,0,0,6,15.384615384615383,1,-0.1799999999999997,Klebsiella variicola,Critical
GCA_012274365.1,0,0,0,3,27.200000000000003,0,-0.3300000000000054,Klebsiella variicola,Critical
GCA_012274355.1,0,0,0,5,16.3265306122449,0,0.9399999999999976,Klebsiella variicola,Critical
GCA_012274345.1,0,0,0,3,22.22222222222222,3,-0.9099999999999966,Klebsiella variicola,Critical
GCA_012274385.1,0,0,0,3,23.61111111111111,3,-0.6299999999999955,Klebsiella variicola,Critical
GCA_012274425.1,0,0,0,0,3.0303030303030303,0,4.399999999999999,Klebsiella variicola,Critical
GCA_016598855.1,1,0,0,1,83.33333333333334,2,-4.310000000000002,Klebsiella variicola,Critical
GCA_023060495.1,0,0,0,9,18.0,2,0.6199999999999974,Enterobacter chengduensis,Critical
GCA_008369545.1,0,1,0,3,18.69918699186992,5,-0.6000000000000014,Pseudocitrobacter sp.,Critical
GCA_031570155.1,0,1,0,1,16.52173913043478,4,-0.1700000000000017,Serratia nevei,Critical
GCA_031570175.1,0,1,0,1,16.129032258064516,6,-0.75,Serratia nevei,Critical
GCA_031570195.1,0,1,1,3,15.384615384615383,2,-0.8100000000000023,Serratia nevei,Critical
GCA_018223985.1,0,0,0,0,28.40909090909091,5,-4.439999999999998,Klebsiella sp.,Critical
GCA_018224005.1,0,0,1,5,32.467532467532465,5,-2.3299999999999983,Klebsiella sp.,Critical
GCA_018223965.1,0,0,0,0,32.0,5,-5.509999999999998,Klebsiella sp.,Critical
GCA_018223865.1,0,0,1,5,27.43362831858407,4,-0.990000000000002,Escherichia sp.,Critical
GCA_018223905.1,0,0,0,5,24.92836676217765,8,-0.8000000000000043,Klebsiella sp.,Critical
GCA_018223915.1,0,0,0,0,25.333333333333336,2,-1.0200000000000031,Klebsiella sp.,Critical
GCA_018223875.1,0,0,0,0,9.090909090909092,0,0.8599999999999994,Klebsiella sp.,Critical
GCA_018223925.1,0,0,1,2,15.0,0,0.2999999999999971,Klebsiella sp.,Critical
GCA_023060975.1,1,0,2,3,30.69306930693069,5,-2.1699999999999946,Enterobacter hormaechei,Critical
GCA_000803045.1,0,0,0,13,50.0,8,-2.509999999999998,Enterobacter hormaechei,Critical
GCA_023060695.1,1,0,0,3,22.35294117647059,5,-1.1300000000000026,Enterobacter hormaechei,Critical
GCA_023060475.1,0,1,2,1,21.333333333333336,4,-3.86,Enterobacter cloacae,Critical
GCA_023060535.1,0,0,0,8,23.07692307692308,4,-0.3900000000000005,Enterobacter cloacae,Critical
GCA_023572505.1,0,0,0,5,14.583333333333334,0,0.1600000000000037,Enterobacter cloacae,Critical
GCA_012276745.1,0,0,1,6,12.658227848101266,4,-0.769999999999996,Acinetobacter baumannii,Critical
GCA_012276735.1,0,0,0,1,5.194805194805195,0,-0.6600000000000037,Acinetobacter baumannii,Critical
GCA_012277115.1,0,0,1,8,12.048192771084338,3,-0.3299999999999983,Acinetobacter baumannii,Critical
GCA_012515875.1,0,0,0,1,3.79746835443038,1,-0.2299999999999968,Acinetobacter baumannii,Critical
GCA_012781995.1,0,0,0,8,16.9811320754717,3,-0.3999999999999986,Acinetobacter baumannii,Critical
GCA_012955845.1,0,1,0,8,16.3265306122449,3,-0.8700000000000045,Acinetobacter baumannii,Critical
GCA_012955825.1,0,0,0,4,14.130434782608695,4,0.1099999999999994,Acinetobacter baumannii,Critical
GCA_012956585.1,0,0,1,4,19.913419913419915,5,-0.1099999999999994,Acinetobacter baumannii,Critical
GCA_013138435.1,0,0,1,4,22.448979591836736,4,-0.7800000000000011,Acinetobacter baumannii,Critical
GCA_013138415.1,0,0,1,7,17.2972972972973,2,-0.6199999999999974,Acinetobacter baumannii,Critical
GCA_013138475.1,0,0,1,3,18.51851851851852,2,0.009999999999998,Acinetobacter baumannii,Critical
GCA_015536845.1,0,0,0,6,12.452830188679243,1,-0.1599999999999966,Acinetobacter baumannii,Critical
GCA_015536855.1,0,0,0,2,11.71875,2,-0.3499999999999943,Acinetobacter baumannii,Critical
GCA_015536865.1,0,0,0,3,15.11627906976744,2,-0.7199999999999989,Acinetobacter baumannii,Critical
GCA_015536875.1,0,0,0,3,11.486486486486488,2,-0.6899999999999977,Acinetobacter baumannii,Critical
GCA_015536925.1,0,1,0,5,8.47457627118644,1,-0.6499999999999986,Acinetobacter baumannii,Critical
GCA_015536935.1,0,1,0,3,11.695906432748536,5,-0.4399999999999977,Acinetobacter baumannii,Critical
GCA_015536955.1,0,1,0,7,5.625,2,0.0899999999999963,Acinetobacter baumannii,Critical
GCA_015536965.1,0,0,1,6,12.06896551724138,4,-0.5700000000000003,Acinetobacter baumannii,Critical
GCA_015536975.1,0,0,0,1,3.5211267605633805,1,-0.5599999999999952,Acinetobacter baumannii,Critical
GCA_015537025.1,0,1,0,2,4.166666666666666,1,-0.4399999999999977,Acinetobacter baumannii,Critical
GCA_015537035.1,0,0,0,7,17.647058823529413,3,-0.1399999999999934,Acinetobacter baumannii,Critical
GCA_015537045.1,0,0,0,2,17.452830188679243,3,0.0799999999999983,Acinetobacter baumannii,Critical
GCA_015537085.1,0,0,0,6,20.3125,5,-0.3799999999999954,Acinetobacter baumannii,Critical
GCA_015537095.1,0,1,1,6,5.5813953488372094,1,-0.2199999999999988,Acinetobacter baumannii,Critical
GCA_015537125.1,0,0,0,5,10.0,1,-0.480000000000004,Acinetobacter baumannii,Critical
GCA_015537145.1,0,0,0,5,19.753086419753085,2,0.0300000000000011,Acinetobacter baumannii,Critical
GCA_015537155.1,0,1,0,3,7.352941176470589,3,-0.4699999999999988,Acinetobacter baumannii,Critical
GCA_015537165.1,0,0,0,2,9.67741935483871,3,-1.0799999999999983,Acinetobacter baumannii,Critical
GCA_015537175.1,0,1,1,7,5.084745762711865,2,-0.9600000000000009,Acinetobacter baumannii,Critical
GCA_015537225.1,0,0,0,2,3.061224489795918,1,0.8399999999999963,Acinetobacter baumannii,Critical
GCA_015537245.1,0,1,0,3,16.455696202531644,3,-0.2899999999999991,Acinetobacter baumannii,Critical
GCA_015537275.1,0,1,1,7,11.585365853658535,2,0.3400000000000034,Acinetobacter baumannii,Critical
GCA_015537285.1,0,0,0,0,3.0303030303030303,0,-0.8800000000000026,Acinetobacter baumannii,Critical
GCA_015537295.1,0,0,0,3,6.470588235294119,3,-0.8400000000000034,Acinetobacter baumannii,Critical
GCA_015537345.1,0,0,0,1,8.823529411764707,1,0.1199999999999974,Acinetobacter baumannii,Critical
GCA_015537365.1,0,0,0,3,14.15929203539823,3,-0.8200000000000003,Acinetobacter baumannii,Critical
GCA_015537385.1,0,1,0,1,9.70873786407767,1,-0.2000000000000028,Acinetobacter baumannii,Critical
GCA_015537405.1,0,1,0,4,12.605042016806722,3,-0.0200000000000031,Acinetobacter baumannii,Critical
GCA_015537415.1,0,1,0,1,10.185185185185183,1,-0.4500000000000028,Acinetobacter baumannii,Critical
GCA_015537445.1,0,0,0,1,4.444444444444445,1,0.509999999999998,Acinetobacter baumannii,Critical
GCA_015537465.1,0,0,1,7,12.5,2,-0.0200000000000031,Acinetobacter baumannii,Critical
GCA_015537485.1,0,0,0,1,4.166666666666666,2,-0.0300000000000011,Acinetobacter baumannii,Critical
GCA_015537505.1,0,0,0,3,7.865168539325842,1,0.2299999999999968,Acinetobacter baumannii,Critical
GCA_015537525.1,0,0,0,7,18.51851851851852,3,-0.4000000000000057,Acinetobacter baumannii,Critical
GCA_015537535.1,0,0,0,1,8.620689655172415,1,0.2000000000000028,Acinetobacter baumannii,Critical
GCA_015537575.1,0,0,0,1,3.5398230088495577,1,-0.3700000000000045,Acinetobacter baumannii,Critical
GCA_015537565.1,0,0,0,3,13.157894736842104,5,-0.259999999999998,Acinetobacter baumannii,Critical
GCA_015537605.1,0,1,1,6,6.557377049180328,3,-0.759999999999998,Acinetobacter baumannii,Critical
GCA_015537615.1,0,1,1,6,10.38961038961039,1,-0.1499999999999985,Acinetobacter baumannii,Critical
GCA_015537635.1,0,0,0,3,11.009174311926609,1,-0.279999999999994,Acinetobacter baumannii,Critical
GCA_015537665.1,0,0,0,6,11.20689655172414,2,-1.1400000000000006,Acinetobacter baumannii,Critical
GCA_015537675.1,0,0,0,1,5.952380952380952,0,-0.3700000000000045,Acinetobacter baumannii,Critical
GCA_015537705.1,0,0,0,3,7.575757575757576,4,-0.3900000000000005,Acinetobacter baumannii,Critical
GCA_015537725.1,0,0,0,1,9.70873786407767,1,0.1000000000000014,Acinetobacter baumannii,Critical
GCA_015537745.1,0,0,0,1,10.714285714285714,1,0.1499999999999985,Acinetobacter baumannii,Critical
GCA_015537755.1,0,0,0,1,4.938271604938271,1,-0.0200000000000031,Acinetobacter baumannii,Critical
GCA_015537765.1,0,0,0,1,13.095238095238097,2,-0.3299999999999983,Acinetobacter baumannii,Critical
GCA_015537775.1,0,0,0,3,9.859154929577464,1,0.0,Acinetobacter baumannii,Critical
GCA_015537825.1,0,0,0,3,12.903225806451612,1,-0.0200000000000031,Acinetobacter baumannii,Critical
GCA_015537845.1,0,0,0,1,2.312138728323699,2,-2.509999999999998,Acinetobacter baumannii,Critical
GCA_015537855.1,0,1,0,1,8.287292817679557,1,-0.3199999999999932,Acinetobacter baumannii,Critical
GCA_015537865.1,0,0,0,1,4.3478260869565215,1,-0.279999999999994,Acinetobacter baumannii,Critical
GCA_015537905.1,0,0,0,2,6.315789473684211,1,-0.3699999999999974,Acinetobacter baumannii,Critical
GCA_015537915.1,0,1,0,2,10.588235294117649,2,-0.3400000000000034,Acinetobacter baumannii,Critical
GCA_015537945.1,0,0,0,3,9.859154929577464,1,0.4600000000000008,Acinetobacter baumannii,Critical
GCA_015537965.1,0,1,0,3,13.333333333333334,4,-0.8299999999999983,Acinetobacter baumannii,Critical
GCA_015537975.1,0,0,0,2,8.75,1,0.0,Acinetobacter baumannii,Critical
GCA_015538025.1,0,1,0,3,16.883116883116884,2,-0.6000000000000014,Acinetobacter baumannii,Critical
GCA_015537995.1,0,0,0,2,13.076923076923078,6,-0.8099999999999952,Acinetobacter baumannii,Critical
GCA_015538055.1,0,0,0,1,3.8095238095238098,1,-0.3900000000000005,Acinetobacter baumannii,Critical
GCA_015538045.1,0,0,0,2,15.454545454545451,2,-0.8799999999999955,Acinetobacter baumannii,Critical
GCA_015538085.1,0,0,0,0,7.894736842105263,1,0.5700000000000003,Acinetobacter baumannii,Critical
GCA_015538105.1,0,1,1,6,5.612244897959184,1,-0.5300000000000011,Acinetobacter baumannii,Critical
GCA_015538125.1,0,0,0,1,2.3529411764705883,0,-0.5499999999999972,Acinetobacter baumannii,Critical
GCA_015538135.1,0,0,0,2,11.11111111111111,1,0.1599999999999966,Acinetobacter baumannii,Critical
GCA_015538155.1,0,0,0,1,15.822784810126585,2,-1.4500000000000028,Acinetobacter baumannii,Critical
GCA_015538165.1,0,1,1,7,10.07751937984496,1,-0.5600000000000023,Acinetobacter baumannii,Critical
GCA_015538205.1,0,0,0,3,9.032258064516128,3,0.1000000000000014,Acinetobacter baumannii,Critical
GCA_015538225.1,0,0,0,2,12.0,1,-0.1099999999999994,Acinetobacter baumannii,Critical
GCA_015538235.1,0,0,0,1,3.3707865168539324,0,-0.4899999999999949,Acinetobacter baumannii,Critical
GCA_015538255.1,0,0,1,2,11.666666666666666,4,-0.490000000000002,Acinetobacter baumannii,Critical
GCA_015538275.1,0,0,0,4,1.276595744680851,0,-0.9200000000000016,Acinetobacter baumannii,Critical
GCA_015538305.1,0,0,0,7,10.06711409395973,4,-0.5399999999999991,Acinetobacter baumannii,Critical
GCA_015538325.1,0,1,1,6,5.583756345177665,1,-0.3200000000000003,Acinetobacter baumannii,Critical
GCA_015538335.1,0,0,0,1,4.705882352941177,1,-0.3900000000000005,Acinetobacter baumannii,Critical
GCA_015538345.1,0,1,0,2,6.976744186046512,1,0.279999999999994,Acinetobacter baumannii,Critical
GCA_015538355.1,0,0,0,2,5.617977528089887,1,-0.1400000000000005,Acinetobacter baumannii,Critical
GCA_015666285.1,0,0,0,2,16.08040201005025,0,0.0800000000000054,Acinetobacter baumannii,Critical
GCA_015666275.1,0,0,0,7,19.91150442477876,4,-0.4500000000000028,Acinetobacter baumannii,Critical
GCA_015666365.1,0,1,1,3,16.161616161616163,1,0.0300000000000011,Acinetobacter baumannii,Critical
GCA_015666475.1,0,1,1,7,17.370892018779344,2,-0.4299999999999997,Acinetobacter baumannii,Critical
GCA_015666535.1,0,0,0,5,25.333333333333336,4,-1.0300000000000011,Acinetobacter baumannii,Critical
GCA_015666515.1,0,1,0,2,23.62204724409449,2,-0.9199999999999946,Acinetobacter baumannii,Critical
GCA_016054925.1,1,0,0,4,23.88059701492537,6,0.3999999999999986,Acinetobacter baumannii,Critical
GCA_016055015.1,0,0,1,3,17.557251908396946,2,0.2800000000000011,Acinetobacter baumannii,Critical
GCA_016054975.1,0,1,0,7,18.27956989247312,4,0.1000000000000014,Acinetobacter baumannii,Critical
GCA_016055335.1,0,0,1,7,14.184397163120568,1,0.0699999999999931,Acinetobacter baumannii,Critical
GCA_016055375.1,0,0,0,8,6.493506493506493,4,-1.8100000000000025,Acinetobacter baumannii,Critical
GCA_016055485.1,0,0,0,3,21.656050955414013,3,-0.75,Acinetobacter baumannii,Critical
GCA_016055475.1,0,0,1,4,19.444444444444446,2,-0.259999999999998,Acinetobacter baumannii,Critical
GCA_016055595.1,0,0,1,7,15.602836879432624,2,-0.1899999999999977,Acinetobacter baumannii,Critical
GCA_016055685.1,0,0,0,7,14.685314685314683,3,-0.3299999999999983,Acinetobacter baumannii,Critical
GCA_016055715.1,0,0,0,3,16.666666666666664,2,-0.0200000000000031,Acinetobacter baumannii,Critical
GCA_016055835.1,0,0,1,2,10.614525139664805,2,0.0499999999999971,Acinetobacter baumannii,Critical
GCA_016055945.1,0,0,0,7,12.589928057553957,4,-0.5200000000000031,Acinetobacter baumannii,Critical
GCA_016056005.1,0,0,0,2,17.51412429378531,2,-0.1700000000000017,Acinetobacter baumannii,Critical
GCA_016056045.1,0,0,0,4,10.784313725490197,3,-0.2100000000000008,Acinetobacter baumannii,Critical
GCA_016056095.1,0,1,0,8,24.0,4,-0.6700000000000017,Acinetobacter baumannii,Critical
GCA_016056125.1,0,0,0,2,22.34042553191489,1,-0.6599999999999966,Acinetobacter baumannii,Critical
GCA_016056145.1,0,0,1,2,18.181818181818183,2,-0.4500000000000028,Acinetobacter baumannii,Critical
GCA_016416045.1,0,0,0,2,16.0,1,-0.6299999999999955,Acinetobacter baumannii,Critical
GCA_017909475.1,0,1,0,2,11.76470588235294,1,-0.1999999999999957,Acinetobacter baumannii,Critical
GCA_017909485.1,0,0,0,6,12.307692307692308,1,-0.3800000000000025,Acinetobacter baumannii,Critical
GCA_017960395.1,0,1,0,2,13.541666666666666,0,-0.75,Acinetobacter baumannii,Critical
GCA_017909495.1,0,0,0,2,12.62135922330097,2,0.0,Acinetobacter baumannii,Critical
GCA_018156665.1,0,0,0,3,19.047619047619047,5,-0.6000000000000014,Acinetobacter baumannii,Critical
GCA_018156725.1,0,0,0,7,20.085470085470085,3,-0.5300000000000011,Acinetobacter baumannii,Critical
GCA_018156705.1,0,0,0,2,15.693430656934307,2,-0.5700000000000003,Acinetobacter baumannii,Critical
GCA_018156745.1,0,1,1,2,13.134328358208954,2,-0.019999999999996,Acinetobacter baumannii,Critical
GCF_000988155.1,0,1,1,1,21.052631578947366,2,-0.0799999999999983,Acinetobacter baumannii,Critical
GCA_020657695.1,0,1,1,7,15.625,2,-0.740000000000002,Acinetobacter baumannii,Critical
GCF_001420385.1,0,0,1,2,17.05426356589147,3,-0.4399999999999977,Acinetobacter baumannii,Critical
GCF_001420335.1,0,0,1,2,10.833333333333334,2,0.1499999999999985,Acinetobacter baumannii,Critical
GCA_021402995.1,0,1,0,3,22.727272727272727,3,-0.3699999999999974,Acinetobacter baumannii,Critical
GCA_022660815.1,0,0,0,0,0.0,0,-0.5386457144983263,Acinetobacter baumannii,Critical
GCF_001500225.1,0,0,0,1,16.853932584269664,1,0.2199999999999988,Acinetobacter baumannii,Critical
GCA_023060185.1,0,0,0,6,19.130434782608692,1,-0.0600000000000022,Acinetobacter baumannii,Critical
GCA_023060375.1,0,1,0,4,18.69158878504673,3,-0.0399999999999991,Acinetobacter baumannii,Critical
GCA_023060655.1,0,1,0,7,17.1875,3,-0.1500000000000056,Acinetobacter baumannii,Critical
GCA_023061035.1,0,1,0,7,21.64179104477612,2,-0.3900000000000005,Acinetobacter baumannii,Critical
GCA_023572255.1,0,1,0,0,19.090909090909093,2,-0.7399999999999949,Acinetobacter baumannii,Critical
GCA_023572275.1,0,1,0,4,25.13089005235602,5,-0.1700000000000017,Acinetobacter baumannii,Critical
GCA_023572305.1,0,0,0,2,21.54696132596685,4,-0.2200000000000059,Acinetobacter baumannii,Critical
GCA_023572445.1,0,1,1,8,21.83908045977012,1,-0.1199999999999974,Acinetobacter baumannii,Critical
GCA_023572625.1,0,1,0,2,22.330097087378643,1,-0.6299999999999955,Acinetobacter baumannii,Critical
GCA_023572725.1,0,0,0,1,9.57792207792208,0,0.1499999999999985,Acinetobacter baumannii,Critical
GCA_024505645.1,0,1,1,3,50.0,1,0.3800000000000025,Acinetobacter baumannii,Critical
GCA_024505625.1,0,1,0,2,50.0,1,0.3900000000000005,Acinetobacter baumannii,Critical
GCA_025950435.1,0,0,1,5,20.833333333333336,4,-0.6899999999999977,Acinetobacter baumannii,Critical
GCA_025950485.1,0,1,1,4,26.666666666666668,4,0.3400000000000034,Acinetobacter baumannii,Critical
GCA_025971765.1,0,0,0,2,28.22085889570552,4,-0.509999999999998,Acinetobacter baumannii,Critical
GCA_025971805.1,0,0,0,4,26.845637583892614,4,-0.0499999999999971,Acinetobacter baumannii,Critical
GCA_025971935.1,0,1,0,4,25.358851674641148,11,-0.279999999999994,Acinetobacter baumannii,Critical
GCA_026239565.1,0,1,0,2,22.69503546099291,2,-0.1999999999999957,Acinetobacter baumannii,Critical
GCA_028402465.1,0,0,0,3,6.790123456790123,2,-0.1099999999999994,Acinetobacter baumannii,Critical
