Species,Source,Date,Location,sample_x,BioSample,Estado,Região,sample_y,vfdb_adherence,vfdb_antimicrobial_activity_competitive_advantage,vfdb_biofilm,vfdb_effector_delivery_system,vfdb_exoenzyme,vfdb_exotoxin,vfdb_immune_modulation,vfdb_invasion,vfdb_motility,vfdb_nutritional_metabolic_factor,vfdb_others,vfdb_post-translational_modification,vfdb_regulation,vfdb_stress_survival,sample_id
Staphylococcus aureus,Nasal sample,2012.0,Vitoria da Conquista,GCF_001921695.1,SAMN06077115,,,GCF_001921695.1_C80_genomic,7.0,0.0,5.0,15.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCF_001921695.1
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260005.1,SAMN05721738,,,GCA_002260005.1_ASM226000v1_genomic,6.0,0.0,5.0,15.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002260005.1
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260015.1,SAMN05721737,,,GCA_002260015.1_ASM226001v1_genomic,4.0,0.0,5.0,17.0,7.0,17.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002260015.1
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260065.1,SAMN05721739,,,GCA_002260065.1_ASM226006v1_genomic,6.0,0.0,5.0,17.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002260065.1
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_002260085.1,SAMN05721740,,,GCA_002260085.1_ASM226008v1_genomic,5.0,0.0,5.0,17.0,8.0,17.0,16.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,GCA_002260085.1
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267625.1,SAMN03940750,SP,Sul,GCA_002267625.1_ASM226762v1_genomic,9.0,0.0,5.0,11.0,10.0,17.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267625.1
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267645.1,SAMN03940752,SP,Sul,GCA_002267645.1_ASM226764v1_genomic,5.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267645.1
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267665.1,SAMN03940754,RS,Sul,GCA_002267665.1_ASM226766v1_genomic,6.0,0.0,5.0,17.0,7.0,18.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267665.1
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002267685.1,SAMN03940749,SP,Sul,GCA_002267685.1_ASM226768v1_genomic,4.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267685.1
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267695.1,SAMN03940751,SP,Sul,GCA_002267695.1_ASM226769v1_genomic,6.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267695.1
Staphylococcus aureus,Blood,2012.0,Sao Pablo,GCA_002267705.1,SAMN03940753,SP,Sul,GCA_002267705.1_ASM226770v1_genomic,5.0,0.0,5.0,17.0,8.0,22.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267705.1
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267965.1,SAMN03944932,RS,Sul,GCA_002267965.1_ASM226796v1_genomic,6.0,0.0,5.0,15.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002267965.1
Staphylococcus aureus,Blood,2012.0,Porto Alegre,GCA_002267995.1,SAMN03944931,RS,Sul,GCA_002267995.1_ASM226799v1_genomic,5.0,0.0,5.0,15.0,8.0,16.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,GCA_002267995.1
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002268195.1,SAMN03944930,SP,Sul,GCA_002268195.1_ASM226819v1_genomic,6.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002268195.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734305.1,SAMN03766003,SP,Sul,GCA_002734305.1_ASM273430v1_genomic,6.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734305.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734325.1,SAMN03766017,SP,Sul,GCA_002734325.1_ASM273432v1_genomic,7.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734325.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734345.1,SAMN03766018,SP,Sul,GCA_002734345.1_ASM273434v1_genomic,6.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734345.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734385.1,SAMN03766021,SP,Sul,GCA_002734385.1_ASM273438v1_genomic,4.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734385.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734405.1,SAMN03766023,SP,Sul,GCA_002734405.1_ASM273440v1_genomic,2.0,0.0,4.0,13.0,8.0,17.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,GCA_002734405.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734415.1,SAMN03766024,SP,Sul,GCA_002734415.1_ASM273441v1_genomic,6.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734415.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734455.1,SAMN03766006,SP,Sul,GCA_002734455.1_ASM273445v1_genomic,4.0,0.0,5.0,16.0,7.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734455.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734425.1,SAMN03766025,SP,Sul,GCA_002734425.1_ASM273442v1_genomic,7.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734425.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734485.1,SAMN03766020,SP,Sul,GCA_002734485.1_ASM273448v1_genomic,7.0,0.0,5.0,17.0,8.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734485.1
Staphylococcus aureus,right femur,2009.0,Belo Horizonte,GCA_002736785.1,SAMN03115000,MG,Sudeste,GCA_002736785.1_ASM273678v1_genomic,8.0,0.0,5.0,17.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002736785.1
Staphylococcus aureus,blood,2009.0,Belo Horizonte,GCA_002736795.1,SAMN03114999,MG,Sudeste,GCA_002736795.1_ASM273679v1_genomic,8.0,0.0,5.0,17.0,8.0,16.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002736795.1
Staphylococcus aureus,nares,2009.0,Belo Horizonte,GCA_002736865.1,SAMN03115003,MG,Sudeste,GCA_002736865.1_ASM273686v1_genomic,8.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002736865.1
Staphylococcus aureus,blood,2009.0,Belo Horizonte,GCA_002736805.1,SAMN03115001,MG,Sudeste,GCA_002736805.1_ASM273680v1_genomic,5.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002736805.1
Staphylococcus aureus,nares,2009.0,Belo Horizonte,GCA_002736815.1,SAMN03115002,MG,Sudeste,GCA_002736815.1_ASM273681v1_genomic,9.0,0.0,5.0,17.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002736815.1
Staphylococcus aureus,nares,2009.0,Belo Horizonte,GCA_002736875.1,SAMN03115004,MG,Sudeste,GCA_002736875.1_ASM273687v1_genomic,7.0,0.0,5.0,17.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002736875.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734315.1,SAMN03766016,SP,Sul,GCA_002734315.1_ASM273431v1_genomic,7.0,0.0,5.0,15.0,7.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734315.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734495.1,SAMN03766019,SP,Sul,GCA_002734495.1_ASM273449v1_genomic,6.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734495.1
Staphylococcus aureus,blood,2014.0,Sao Carlos,GCA_002734505.1,SAMN03766022,SP,Sul,GCA_002734505.1_ASM273450v1_genomic,6.0,0.0,5.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002734505.1
Staphylococcus aureus,Blood stream,2016.0,"Parana, Londrina",GCA_002798125.1,SAMN07967050,PR,Sul,GCA_002798125.1_ASM279812v1_genomic,8.0,0.0,5.0,20.0,10.0,23.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002798125.1
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002887305.1,SAMN04346834,SP,Sul,GCA_002887305.1_ASM288730v1_genomic,3.0,0.0,5.0,13.0,8.0,16.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_002887305.1
Staphylococcus aureus,Blood,2012.0,Sao Paulo,GCA_002887495.1,SAMN04346842,SP,Sul,GCA_002887495.1_ASM288749v1_genomic,5.0,0.0,4.0,7.0,8.0,14.0,19.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,GCA_002887495.1
Staphylococcus aureus,wound fluid,2015.0,Rio de Janeiro,GCA_003010475.1,SAMN08634544,RJ,Sudeste,GCA_003010475.1_ASM301047v1_genomic,9.0,0.0,5.0,15.0,7.0,19.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003010475.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095355.1,SAMN08977784,,,GCA_003095355.1_ASM309535v1_genomic,8.0,0.0,5.0,18.0,8.0,21.0,17.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003095355.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095335.1,SAMN08977786,,,GCA_003095335.1_ASM309533v1_genomic,9.0,0.0,5.0,15.0,8.0,19.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003095335.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095315.1,SAMN08977788,,,GCA_003095315.1_ASM309531v1_genomic,8.0,0.0,5.0,16.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003095315.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003095235.1,SAMN08977783,,,GCA_003095235.1_ASM309523v1_genomic,9.0,0.0,5.0,17.0,7.0,18.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003095235.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003076115.1,SAMN08977782,,,GCA_003076115.1_ASM307611v1_genomic,8.0,0.0,5.0,17.0,7.0,18.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003076115.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003075875.1,SAMN08977785,,,GCA_003075875.1_ASM307587v1_genomic,9.0,0.0,4.0,17.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003075875.1
Staphylococcus aureus,blood,2012.0,Brazil,GCA_003075675.1,SAMN08977787,,,GCA_003075675.1_ASM307567v1_genomic,8.0,0.0,5.0,15.0,8.0,21.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003075675.1
Staphylococcus aureus,Tracheal secretion,2014.0,Rio de Janeiro,GCA_003031485.1,SAMN06480776,RJ,Sudeste,GCA_003031485.1_ASM303148v1_genomic,9.0,0.0,5.0,17.0,8.0,21.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003031485.1
Staphylococcus aureus,nasal swab,2014.0,Rio de Janeiro,GCA_003031465.1,SAMN06644991,RJ,Sudeste,GCA_003031465.1_ASM303146v1_genomic,8.0,0.0,5.0,14.0,8.0,18.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003031465.1
Staphylococcus aureus,Blood,2015.0,Rio de Janeiro,GCA_003194405.1,SAMN06560523,RJ,Sudeste,GCA_003194405.1_ASM319440v1_genomic,9.0,0.0,5.0,17.0,8.0,18.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_003194405.1
Staphylococcus aureus,sputun of patients with Cystic Fibrosis,2010.0,Brazil,GCA_001726145.1,SAMN05213228,,,GCA_001726145.1_ASM172614v1_genomic,6.0,0.0,5.0,8.0,9.0,12.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_001726145.1
Staphylococcus aureus,inguinal swab,2011.0,Sao Paulo,GCA_009857865.1,SAMN13700069,SP,Sul,GCA_009857865.1_ASM985786v1_genomic,6.0,0.0,5.0,12.0,7.0,17.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_009857865.1
Staphylococcus aureus,nasal swab,2016.0,Sao Paulo,GCA_011812685.1,SAMN13700073,SP,Sul,GCA_011812685.1_ASM1181268v1_genomic,6.0,0.0,5.0,14.0,7.0,18.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_011812685.1
Staphylococcus aureus,nasal swab,2011.0,Sao Paulo,GCA_011812665.1,SAMN13700071,SP,Sul,GCA_011812665.1_ASM1181266v1_genomic,6.0,0.0,5.0,13.0,7.0,16.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_011812665.1
Staphylococcus aureus,nasal swab,2010.0,Sao Paulo,GCA_011812675.1,SAMN13700070,SP,Sul,GCA_011812675.1_ASM1181267v1_genomic,3.0,0.0,4.0,14.0,7.0,18.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_011812675.1
Staphylococcus aureus,nasal swab,2016.0,Sao Paulo,GCA_011812695.1,SAMN13700074,SP,Sul,GCA_011812695.1_ASM1181269v1_genomic,6.0,0.0,4.0,13.0,8.0,17.0,16.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,GCA_011812695.1
Staphylococcus aureus,blood,2003.0,Sao Paulo,GCA_011812705.1,SAMN13700072,SP,Sul,GCA_011812705.1_ASM1181270v1_genomic,7.0,0.0,4.0,7.0,7.0,15.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_011812705.1
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276815.1,SAMN13700075,SP,Sul,GCA_012276815.1_ASM1227681v1_genomic,6.0,0.0,5.0,14.0,8.0,17.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_012276815.1
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276725.1,SAMN13700081,SP,Sul,GCA_012276725.1_ASM1227672v1_genomic,6.0,0.0,5.0,11.0,6.0,16.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,GCA_012276725.1
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276865.1,SAMN13700076,SP,Sul,GCA_012276865.1_ASM1227686v1_genomic,6.0,0.0,5.0,11.0,6.0,16.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,GCA_012276865.1
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276835.1,SAMN13700078,SP,Sul,GCA_012276835.1_ASM1227683v1_genomic,9.0,0.0,5.0,18.0,9.0,22.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_012276835.1
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276855.1,SAMN13700080,SP,Sul,GCA_012276855.1_ASM1227685v1_genomic,6.0,0.0,5.0,14.0,8.0,17.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_012276855.1
Staphylococcus aureus,nasal swab,2017.0,Sao Paulo,GCA_012276845.1,SAMN13700077,SP,Sul,GCA_012276845.1_ASM1227684v1_genomic,9.0,0.0,5.0,18.0,9.0,22.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_012276845.1
Staphylococcus aureus,blood,2018.0,Sao Paulo,GCA_012955985.1,SAMN14595380,SP,Sul,GCA_012955985.1_ASM1295598v1_genomic,8.0,0.0,5.0,15.0,8.0,17.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,GCA_012955985.1
